JTHBE1D20F5003012,20024,10060,18,5.51,2023-04-01
WDD1690321J306021,20099,10081,42,9.98,2023-03-31
1G1PC5SB1E7468027,20102,10086,60,7.55,2023-03-30
1G1YY32G045137245,20108,10025,54,9.09,2023-03-29
VF1BB0CG642762701,20111,10031,54,10.51,2023-03-28
VF1LW5FV4EJ400449,20028,10017,60,7.57,2023-03-27
1C6SRFJT9LN124271,20091,10108,48,7.84,2023-03-26
JN8AS5MT5AW001684,20084,10109,36,6.57,2023-03-25
WAUEFAFL6AN015952,20012,10108,54,7.78,2023-03-24
WBA3B9C59DF581961,20053,10013,54,5.16,2023-03-29
1J4GW48S33C538940,20045,10054,48,5.98,2023-03-28
1FA6P8CF6G5204786,20025,10044,48,9.13,2023-03-14
1N4BA41E27C829994,20020,10031,48,7.31,2023-03-08
WVWZZZ1KZ8W109879,20069,10055,18,9.22,2023-03-18
WBA3N3C57GK254798,20021,10108,48,7.46,2023-03-01
JTDKN3DU6B1442086,20078,10104,54,9.71,2023-03-26
JTNKU3JE2FJ001625,20067,10046,30,10.18,2023-03-05
VF7XU9HXCJS036270,20024,10031,42,10.00,2023-03-07
1GKET16S336108900,20050,10068,60,7.62,2023-03-17
1GKDT13S432310687,20059,10030,30,9.38,2023-03-03
WBA8E5G53GNT43587,20073,10073,36,7.35,2023-03-16
1G4PR5SK2C4177666,20051,10029,60,8.01,2023-03-24
JN8AS5MTXFW761655,20109,10012,54,11.87,2019-11-06
VF1LB0AH5C7653737,20103,10005,60,8.57,2022-10-12
VF7VD5FS0EJ610860,20106,10034,30,8.42,2022-04-29
1FADP3F2XFL261114,20109,10078,36,11.59,2021-02-16
VF1CNCZ0F48912151,20109,10073,24,8.23,2018-12-01
VF1AAAA0F67031390,20109,10033,60,10.97,2018-03-17
2A8HR54P78R838277,20105,10105,24,6.25,2019-05-31
WDD2210561A158211,20109,10052,54,6.60,2021-03-27
JTHCK262382015990,20101,10094,18,5.83,2019-06-07
WDC2539861X062536,20111,10057,54,6.38,2022-06-09
VF7XU9HXCJS036267,20102,10054,42,6.68,2021-07-22
WBA3A5C54DF359324,20110,10023,60,11.13,2021-12-03
WDD2221861A194294,20100,10097,60,6.76,2020-02-25
VF1LC0NM6F0109144,20106,10017,42,6.77,2022-02-06
2C3CDXBG1CH175443,20100,10048,54,10.29,2023-01-21
WDD1760431J585364,20102,10066,24,6.79,2022-03-29
SALVP2BG7HH315831,20040,10018,42,5.93,2020-10-27
VF1CDB1F665474149,20064,10054,18,8.25,2019-11-19
VF1LW5FV3FJ157772,20058,10068,30,6.80,2018-08-12
WDCGG8HB5EG232323,20093,10081,66,11.76,2023-02-09
5UXFE43528L034542,20059,10107,36,8.63,2018-10-03
VF7XU9HXCJS036271,20083,10033,66,8.31,2022-02-16
2C3CDXBG0HH601391,20071,10103,54,8.63,2021-05-11
1C4PJLDS6KW511518,20070,10108,18,8.15,2020-12-18
VF7VU9HZ6EZ143764,20012,10044,12,6.27,2019-02-17
5N1AT2MT2FC812656,20067,10015,54,10.11,2019-12-19
VF1RFA5V6C0670836,20085,10110,36,11.26,2020-07-06
2C3CCAGG7JH126885,20032,10071,42,8.81,2019-09-14
1G8ZH5280TZ245669,20041,10106,36,8.37,2018-06-08
WDDPK5HA8GF105415,20042,10043,60,9.56,2022-07-23
1G1BC5SM6H7248546,20100,10012,24,8.57,2023-02-07
1N4BL2AP3CN456357,20087,10012,42,9.26,2022-08-30
1FTMF1E55KKE29667,20028,10056,24,11.48,2020-10-12